ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
ADEKI,ADEKI,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.2966666667,46.7500000000,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
AGISO,AGISO,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.6277777778,43.4958333333,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
ANAGU,ANAGU,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.6305555556,46.0155555556,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
BADIR,BADIR,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.4833333333,45.3666666667,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
BAGEM,BAGEM,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.5988888889,44.4805555556,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
BANUT,BANUT,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,42.9897222222,39.9852777778,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
BARAD,BARAD,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.3586111111,45.0833333333,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
BARUS,BARUS,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.9038888889,42.8416666667,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
BASKA,BASKA,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,42.5830555556,43.4486111111,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
DEDON,DEDON,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.7152777778,45.2466666667,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
