ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
ABAGU,ABAGU,SIGNIFICANT_POINT,IRELAND / EISN FIR,52.5033333333,-7.6466666667,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
ADARA,ADARA,SIGNIFICANT_POINT,IRELAND / EISN FIR,51.5000000000,-15.0000000000,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
ADBUS,ADBUS,SIGNIFICANT_POINT,IRELAND / EISN FIR,54.4166666667,-12.5000000000,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
ADMUP,ADMUP,SIGNIFICANT_POINT,IRELAND / EISN FIR,52.8000000000,-6.2333333333,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
AGINI,AGINI,SIGNIFICANT_POINT,IRELAND / EISN FIR,53.1555555556,-8.5794444444,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
AGORI,AGORI,SIGNIFICANT_POINT,IRELAND / EISN FIR,57.0000000000,-13.0000000000,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
AKIGO,AKIGO,SIGNIFICANT_POINT,IRELAND / EISN FIR,53.8416666667,-7.9347222222,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
AMDEP,AMDEP,SIGNIFICANT_POINT,IRELAND / EISN FIR,51.5666666667,-11.2166666667,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
AMLAD,AMLAD,SIGNIFICANT_POINT,IRELAND / EISN FIR,56.2644444444,-10.0000000000,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
APSOV,APSOV,SIGNIFICANT_POINT,IRELAND / EISN FIR,55.8230555556,-10.0000000000,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
ARKIL,ARKIL,SIGNIFICANT_POINT,IRELAND / EISN FIR,50.6577777778,-8.0000000000,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
ASKUP,ASKUP,SIGNIFICANT_POINT,IRELAND / EISN FIR,53.8925000000,-6.1088888889,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
ATSUR,ATSUR,SIGNIFICANT_POINT,IRELAND / EISN FIR,50.0000000000,-14.0000000000,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
BAGSO,BAGSO,SIGNIFICANT_POINT,IRELAND / EISN FIR,53.6800000000,-5.5000000000,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
BAKUR,BAKUR,SIGNIFICANT_POINT,IRELAND / EISN FIR,52.2416666667,-5.6802777778,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
BAMLI,BAMLI,SIGNIFICANT_POINT,IRELAND / EISN FIR,54.1413888889,-6.6511111111,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
BANBA,BANBA,SIGNIFICANT_POINT,IRELAND / EISN FIR,51.9527777778,-6.2391666667,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
BEDRA,BEDRA,SIGNIFICANT_POINT,IRELAND / EISN FIR,49.0000000000,-15.0000000000,AIRNAV IRELAND,2026-06-11,https://www.airnav.ie/AIRAC_MAY_2026/2026-05-14-AIRAC/html/eAIP/EI-ENR-4.4-en-IE.html,
