name,icao,region,elev_ft,rwy_m,rwy_desc,surface,fuel,lat,lon,remarks,source
JUBA,HJJJ,South Sudan,1513.0,3100.0,"13/31, 3100m by 45m",ASPHALT,JET A1,4.87194,31.60111,,AIP
WILSON,HKNW,Kenya,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",ASPHALT,JET A1 & AVGAS,-1.32167,36.81333,Busy GA/training traffic; report to Customs.,AIP
MARSABIT,HKMB,Kenya,4370.0,1100.0,"10/28, 1100m by 15m",BITUMEN,N/A,2.347,37.98417,High terrain surrounds field.,AIP
London Heathrow Airport,EGLL,GB,83.0,3901.0,09L/27R,ASP,,51.470748,-0.459909,,AIP
Los Angeles International Airport,KLAX,US,125.0,3930.0,7L/25R,CON,,33.942501,-118.407997,,AIP
Chicago O'Hare International Airport,KORD,US,680.0,3962.0,10L/28R,CON,,41.9786,-87.9048,,AIP
John F. Kennedy International Airport,KJFK,US,13.0,4423.0,13R/31L,PEM,,40.639447,-73.779317,,AIP
Hartsfield Jackson Atlanta International Airport,KATL,US,1026.0,3776.0,09L/27R,CON,,33.6367,-84.428101,,AIP
Charles de Gaulle International Airport,LFPG,FR,392.0,4215.0,08L/26R,ASP,,49.00896,2.554117,,AIP
San Francisco International Airport,KSFO,US,13.0,3618.0,10L/28R,ASP,,37.619806,-122.374821,,AIP
Amsterdam Airport Schiphol,EHAM,NL,-11.0,3800.0,18R/36L,ASP,,52.308601,4.76389,,AIP
Frankfurt Main Airport,EDDF,DE,364.0,4000.0,07C/25C,ASP,,50.026706,8.55835,,AIP
Dallas Fort Worth International Airport,KDFW,US,607.0,4085.0,18L/36R,CON,,32.896801,-97.038002,,AIP
Newark Liberty International Airport,KEWR,US,18.0,3353.0,4L/22R,ASP,,40.6894,-74.170545,,AIP
Harry Reid International Airport,KLAS,US,2181.0,4522.0,08L/26R,ASP,,36.083361,-115.151817,,AIP
Orlando International Airport,KMCO,US,96.0,3659.0,18L/36R,PEM,,28.429399490356445,-81.30899810791016,,AIP
Denver International Airport,KDEN,US,5431.0,4877.0,16R/34L,CON,,39.860027,-104.673792,,AIP
Miami International Airport,KMIA,US,8.0,3967.0,09/27,ASP,,25.796011,-80.289751,,AIP
Washington Dulles International Airport,KIAD,US,312.0,3505.0,01C/19C,CONC-G,,38.9445,-77.455803,,AIP
LaGuardia Airport,KLGA,US,21.0,2134.0,04/22,ASP,,40.777199,-73.872597,,AIP
Seattle–Tacoma International Airport,KSEA,US,433.0,3627.0,16L/34R,PEM,,47.447943,-122.310276,,AIP
Boston Logan International Airport,KBOS,US,20.0,3073.0,15R/33L,ASP,,42.36197,-71.0079,,AIP
Phoenix Sky Harbor International Airport,KPHX,US,1135.0,3502.0,08/26,CON,,33.435302,-112.005905,,AIP
Philadelphia International Airport,KPHL,US,36.0,3658.0,09R/27L,ASP,,39.871899,-75.241096,,AIP
Charlotte Douglas International Airport,KCLT,US,748.0,3048.0,18C/36C,CONC-F,,35.2140007019043,-80.94309997558594,,AIP
London Gatwick Airport,EGKK,GB,202.0,3317.0,08R/26L,ASP,,51.148744,-0.185739,,AIP
George Bush Intercontinental Airport,KIAH,US,97.0,3658.0,15L/33R,CON,,29.9844,-95.3414,,AIP
Ronald Reagan Washington National Airport,KDCA,US,15.0,2185.0,01/19,ASP,,38.8521,-77.037697,,AIP
Detroit Metropolitan Wayne County Airport,KDTW,US,645.0,3659.0,04R/22L,CON,,42.21377,-83.353786,,AIP
Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,US,841.0,3355.0,04/22,CON,,44.880081,-93.221741,,AIP
Toronto Pearson International Airport,CYYZ,CA,569.0,3389.0,05/23,ASP/CONC,,43.675935,-79.629421,,AIP
Munich Airport,EDDM,DE,1487.0,4000.0,08L/26R,CON,,48.353802,11.7861,,AIP
Josep Tarradellas Barcelona-El Prat Airport,LEBL,ES,12.0,3353.0,06L/24R,ASP,,41.2971,2.07846,,AIP
