ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
ADDER,ADDER,SIGNIFICANT_POINT,ALBANIA / LAAA FIR,40.5238888889,20.3047222222,ALBCONTROL ALBANIA,2026-05-14,https://www.albcontrol.al/al/aip/14-MAY-2026-A/2026-05-14-AIRAC/html/eAIP/LA-ENR-4.4-en-GB.html,
AKIKA,AKIKA,SIGNIFICANT_POINT,ALBANIA / LAAA FIR,42.5341666667,19.6038888889,ALBCONTROL ALBANIA,2026-05-14,https://www.albcontrol.al/al/aip/14-MAY-2026-A/2026-05-14-AIRAC/html/eAIP/LA-ENR-4.4-en-GB.html,
ALELU,ALELU,SIGNIFICANT_POINT,ALBANIA / LAAA FIR,42.4791666667,19.8505555556,ALBCONTROL ALBANIA,2026-05-14,https://www.albcontrol.al/al/aip/14-MAY-2026-A/2026-05-14-AIRAC/html/eAIP/LA-ENR-4.4-en-GB.html,
ARBER,ARBER,SIGNIFICANT_POINT,ALBANIA / LAAA FIR,42.1302777778,20.4975000000,ALBCONTROL ALBANIA,2026-05-14,https://www.albcontrol.al/al/aip/14-MAY-2026-A/2026-05-14-AIRAC/html/eAIP/LA-ENR-4.4-en-GB.html,
BONZI,BONZI,SIGNIFICANT_POINT,ALBANIA / LAAA FIR,41.5233333333,20.4572222222,ALBCONTROL ALBANIA,2026-05-14,https://www.albcontrol.al/al/aip/14-MAY-2026-A/2026-05-14-AIRAC/html/eAIP/LA-ENR-4.4-en-GB.html,
DIMIS,DIMIS,SIGNIFICANT_POINT,ALBANIA / LAAA FIR,40.0725000000,20.5947222222,ALBCONTROL ALBANIA,2026-05-14,https://www.albcontrol.al/al/aip/14-MAY-2026-A/2026-05-14-AIRAC/html/eAIP/LA-ENR-4.4-en-GB.html,
DIRES,DIRES,SIGNIFICANT_POINT,ALBANIA / LAAA FIR,41.0577777778,19.1925000000,ALBCONTROL ALBANIA,2026-05-14,https://www.albcontrol.al/al/aip/14-MAY-2026-A/2026-05-14-AIRAC/html/eAIP/LA-ENR-4.4-en-GB.html,
DITAN,DITAN,SIGNIFICANT_POINT,ALBANIA / LAAA FIR,40.9455555556,19.3036111111,ALBCONTROL ALBANIA,2026-05-14,https://www.albcontrol.al/al/aip/14-MAY-2026-A/2026-05-14-AIRAC/html/eAIP/LA-ENR-4.4-en-GB.html,
DOBAR,DOBAR,SIGNIFICANT_POINT,ALBANIA / LAAA FIR,41.3327777778,20.4947222222,ALBCONTROL ALBANIA,2026-05-14,https://www.albcontrol.al/al/aip/14-MAY-2026-A/2026-05-14-AIRAC/html/eAIP/LA-ENR-4.4-en-GB.html,
EBELA,EBELA,SIGNIFICANT_POINT,ALBANIA / LAAA FIR,41.1933333333,18.9088888889,ALBCONTROL ALBANIA,2026-05-14,https://www.albcontrol.al/al/aip/14-MAY-2026-A/2026-05-14-AIRAC/html/eAIP/LA-ENR-4.4-en-GB.html,
