ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
ADANO,ADANO,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,39.6666666667,45.8333333333,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
ADILA,ADILA,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,39.9966666667,45.4950000000,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
AMGIK,AMGIK,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,41.0772222222,43.9272222222,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
ASMIK,ASMIK,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.6613888889,44.2333333333,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
BERDO,BERDO,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.9897222222,44.1900000000,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
DEKIT,DEKIT,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.1333333333,45.2594444444,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
ELSIV,ELSIV,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.6311111111,45.3705555556,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
EREVA,EREVA,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.1472222222,44.3669444444,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
GOGOL,GOGOL,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.1319444444,44.9991666667,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
GOSIS,GOSIS,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,39.9472222222,44.9861111111,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
IDRUS,IDRUS,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.9672222222,43.9844444444,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
INDUR,INDUR,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.1155555556,43.6647222222,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
IRLAN,IRLAN,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,39.5113888889,45.4438888889,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
LUMIK,LUMIK,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.0333333333,44.6769444444,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
MAGRI,MAGRI,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,38.9022222222,46.3833333333,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
MATAL,MATAL,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.7686111111,45.5022222222,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
NEGAN,NEGAN,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,39.7550000000,45.0100000000,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
OGEVI,OGEVI,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,41.1347222222,43.7869444444,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
PEMAN,PEMAN,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.3911111111,45.6422222222,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
REBGI,REBGI,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.2433333333,44.5775000000,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
REBLO,REBLO,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.8400000000,43.6850000000,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
SEVAN,SEVAN,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.5341666667,44.9547222222,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,1
TABAS,TABAS,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.8352777778,43.8316666667,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,2
TAVRO,TAVRO,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,41.1913888889,44.5025000000,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,2
TIBLO,TIBLO,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.3855555556,43.8911111111,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,2
TISOT,TISOT,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,41.2680555556,44.8858333333,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,2
TUTAK,TUTAK,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.1341666667,45.5461111111,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,2
VETEN,VETEN,SIGNIFICANT_POINT,ARMENIA / UDDD FIR,40.1341666667,45.9561111111,ARMATS ARMENIA,2025-10-30,https://armats.am/storage/attachments/176171897405-25%2830OCT2025%29/pdf/UD-ENR-4.4-en-GB.pdf,2
