ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
AMDOL,AMDOL,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,14.3533333333,-26.3583333333,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
BORTA,BORTA,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,13.9205555556,-20.7291666667,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
BOTNO,BOTNO,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,13.5000000000,-23.2416666667,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
BULVO,BULVO,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,14.0411111111,-24.5033333333,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
DIMKI,DIMKI,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,17.8888888889,-22.2480555556,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
EDUMO,EDUMO,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,22.9150000000,-23.6016666667,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
EVKAS,EVKAS,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,17.8008333333,-26.0211111111,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
GAMBA,GAMBA,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,18.9516666667,-26.0616666667,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
GUNET,GUNET,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,19.5950000000,-19.7350000000,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
IPERA,IPERA,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,20.3650000000,-20.7000000000,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
IRANI,IRANI,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,17.7183333333,-24.3033333333,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
KEGIL,KEGIL,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,18.1577777778,-24.9202777778,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
KEPAS,KEPAS,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,14.8061111111,-28.4777777778,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
LININ,LININ,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,18.1513888889,-24.7566666667,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
LUMPO,LUMPO,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,15.6800000000,-20.0000000000,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
MELUT,MELUT,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,16.1319444444,-26.2666666667,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
MOGSA,MOGSA,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,14.6883333333,-20.2113888889,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
MOPAK,MOPAK,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,18.1222222222,-24.0472222222,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
NEMDO,NEMDO,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,18.0991666667,-23.5316666667,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
ODMEN,ODMEN,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,13.8983333333,-24.3427777778,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
ONOBI,ONOBI,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,13.6933333333,-24.4416666667,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
OPADU,OPADU,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,15.9383333333,-21.8700000000,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
PINPO,PINPO,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,17.6513888889,-21.9383333333,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
POLMO,POLMO,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,16.2747222222,-21.6427777778,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
POMAT,POMAT,SIGNIFICANT_POINT,CABO VERDE / SAL OCEANIC FIR,13.8766666667,-24.5966666667,ASA CABO VERDE,2024-02-22,https://eaip.asa.cv/2024-04-18-AIRAC/html/eAIP/GV-ENR-4.4-en-GB.html,
