ident,name,point_type,region,lat,lon,source,provider,effective_date,source_url,validation_status,source_page
ABALA,ABALA,SIGNIFICANT_POINT,ASECNA,16.0500000000,4.5833333333,AIP,ASECNA,2026-06-11,https://aim.asecna.aero/pdf/FR-_00ENR-4.4-01-fr-FR.pdf,AIP_EXTRACTED,1
ABAVO,ABAVO,SIGNIFICANT_POINT,ASECNA,4.4400000000,18.7800000000,AIP,ASECNA,2026-06-11,https://aim.asecna.aero/pdf/FR-_00ENR-4.4-01-fr-FR.pdf,AIP_EXTRACTED,1
ABBIS,ABBIS,SIGNIFICANT_POINT,ASECNA,11.9983333333,-15.5633333333,AIP,ASECNA,2026-06-11,https://aim.asecna.aero/pdf/FR-_00ENR-4.4-01-fr-FR.pdf,AIP_EXTRACTED,1
ABEPI,ABEPI,SIGNIFICANT_POINT,ASECNA,14.3711416667,20.5121972222,AIP,ASECNA,2026-06-11,https://aim.asecna.aero/pdf/FR-_00ENR-4.4-01-fr-FR.pdf,AIP_EXTRACTED,1
ABIPO,ABIPO,SIGNIFICANT_POINT,ASECNA,6.1291972222,-6.2906305556,AIP,ASECNA,2026-06-11,https://aim.asecna.aero/pdf/FR-_00ENR-4.4-01-fr-FR.pdf,AIP_EXTRACTED,1
ABNEB,ABNEB,SIGNIFICANT_POINT,ASECNA,20.0938305556,0.8149500000,AIP,ASECNA,2026-06-11,https://aim.asecna.aero/pdf/FR-_00ENR-4.4-01-fr-FR.pdf,AIP_EXTRACTED,1
ABOXO,ABOXO,SIGNIFICANT_POINT,ASECNA,13.9018750000,19.3265972222,AIP,ASECNA,2026-06-11,https://aim.asecna.aero/pdf/FR-_00ENR-4.4-01-fr-FR.pdf,AIP_EXTRACTED,1
ADOKO,ADOKO,SIGNIFICANT_POINT,ASECNA,20.0339027778,0.8767083333,AIP,ASECNA,2026-06-11,https://aim.asecna.aero/pdf/FR-_00ENR-4.4-01-fr-FR.pdf,AIP_EXTRACTED,1
AGPOT,AGPOT,SIGNIFICANT_POINT,ASECNA,-1.6130222222,11.0051416667,AIP,ASECNA,2026-06-11,https://aim.asecna.aero/pdf/FR-_00ENR-4.4-01-fr-FR.pdf,AIP_EXTRACTED,1
AGPUV,AGPUV,SIGNIFICANT_POINT,ASECNA,-1.3813722222,12.5519055556,AIP,ASECNA,2026-06-11,https://aim.asecna.aero/pdf/FR-_00ENR-4.4-01-fr-FR.pdf,AIP_EXTRACTED,1
