ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
ABETI,ABETI,SIGNIFICANT_POINT,AUSTRIA / LOVV FIR,47.6777138889,17.0128416667,AUSTRO CONTROL AUSTRIA,2026-06-12,https://eaip.austrocontrol.at/lo/260612/PART_2/LO_ENR_4_4_en.pdf,1
ABIRI,ABIRI,SIGNIFICANT_POINT,AUSTRIA / LOVV FIR,46.7625027778,14.9675722222,AUSTRO CONTROL AUSTRIA,2026-06-12,https://eaip.austrocontrol.at/lo/260612/PART_2/LO_ENR_4_4_en.pdf,1
ABLOM,ABLOM,SIGNIFICANT_POINT,AUSTRIA / LOVV FIR,48.0675666667,17.0877027778,AUSTRO CONTROL AUSTRIA,2026-06-12,https://eaip.austrocontrol.at/lo/260612/PART_2/LO_ENR_4_4_en.pdf,1
ABRUK,ABRUK,SIGNIFICANT_POINT,AUSTRIA / LOVV FIR,47.3831305556,15.0066305556,AUSTRO CONTROL AUSTRIA,2026-06-12,https://eaip.austrocontrol.at/lo/260612/PART_2/LO_ENR_4_4_en.pdf,1
ABTAN,ABTAN,SIGNIFICANT_POINT,AUSTRIA / LOVV FIR,47.1136111111,14.4955555556,AUSTRO CONTROL AUSTRIA,2026-06-12,https://eaip.austrocontrol.at/lo/260612/PART_2/LO_ENR_4_4_en.pdf,1
ADAMA,ADAMA,SIGNIFICANT_POINT,AUSTRIA / LOVV FIR,47.9877777778,17.3413888889,AUSTRO CONTROL AUSTRIA,2026-06-12,https://eaip.austrocontrol.at/lo/260612/PART_2/LO_ENR_4_4_en.pdf,1
ADGOH,ADGOH,SIGNIFICANT_POINT,AUSTRIA / LOVV FIR,47.1830555556,16.3855555556,AUSTRO CONTROL AUSTRIA,2026-06-12,https://eaip.austrocontrol.at/lo/260612/PART_2/LO_ENR_4_4_en.pdf,1
ADILO,ADILO,SIGNIFICANT_POINT,AUSTRIA / LOVV FIR,47.3458138889,10.9476527778,AUSTRO CONTROL AUSTRIA,2026-06-12,https://eaip.austrocontrol.at/lo/260612/PART_2/LO_ENR_4_4_en.pdf,1
ADLET,ADLET,SIGNIFICANT_POINT,AUSTRIA / LOVV FIR,48.5676000000,14.2992833333,AUSTRO CONTROL AUSTRIA,2026-06-12,https://eaip.austrocontrol.at/lo/260612/PART_2/LO_ENR_4_4_en.pdf,1
ALILA,ALILA,SIGNIFICANT_POINT,AUSTRIA / LOVV FIR,47.2164472222,11.5536638889,AUSTRO CONTROL AUSTRIA,2026-06-12,https://eaip.austrocontrol.at/lo/260612/PART_2/LO_ENR_4_4_en.pdf,1
