ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
AHALE,AHALE,SIGNIFICANT_POINT,NEPAL / KATHMANDU FIR,27.1966666667,86.1180555556,CAAN NEPAL,2025-01-26,https://e-aip.caanepal.gov.np/_uploads/_pdf/0a6d7a407e3d79dacdf78d9d81b3a37d.pdf,1
BARBI,BARBI,SIGNIFICANT_POINT,NEPAL / KATHMANDU FIR,27.8441666667,85.8786111111,CAAN NEPAL,2025-01-26,https://e-aip.caanepal.gov.np/_uploads/_pdf/0a6d7a407e3d79dacdf78d9d81b3a37d.pdf,1
BAVIT,BAVIT,SIGNIFICANT_POINT,NEPAL / KATHMANDU FIR,27.8222222222,83.6750000000,CAAN NEPAL,2025-01-26,https://e-aip.caanepal.gov.np/_uploads/_pdf/0a6d7a407e3d79dacdf78d9d81b3a37d.pdf,1
BIPOB,BIPOB,SIGNIFICANT_POINT,NEPAL / KATHMANDU FIR,26.8986111111,85.0083333333,CAAN NEPAL,2025-01-26,https://e-aip.caanepal.gov.np/_uploads/_pdf/0a6d7a407e3d79dacdf78d9d81b3a37d.pdf,1
BIRAT,BIRAT,SIGNIFICANT_POINT,NEPAL / KATHMANDU FIR,26.3527777778,87.3041666667,CAAN NEPAL,2025-01-26,https://e-aip.caanepal.gov.np/_uploads/_pdf/0a6d7a407e3d79dacdf78d9d81b3a37d.pdf,1
BOPDU,BOPDU,SIGNIFICANT_POINT,NEPAL / KATHMANDU FIR,27.8225000000,83.6894444444,CAAN NEPAL,2025-01-26,https://e-aip.caanepal.gov.np/_uploads/_pdf/0a6d7a407e3d79dacdf78d9d81b3a37d.pdf,1
CHURE,CHURE,SIGNIFICANT_POINT,NEPAL / KATHMANDU FIR,26.8633333333,86.6519444444,CAAN NEPAL,2025-01-26,https://e-aip.caanepal.gov.np/_uploads/_pdf/0a6d7a407e3d79dacdf78d9d81b3a37d.pdf,1
DARKE,DARKE,SIGNIFICANT_POINT,NEPAL / KATHMANDU FIR,27.7447222222,85.1050000000,CAAN NEPAL,2025-01-26,https://e-aip.caanepal.gov.np/_uploads/_pdf/0a6d7a407e3d79dacdf78d9d81b3a37d.pdf,1
GOVKO,GOVKO,SIGNIFICANT_POINT,NEPAL / KATHMANDU FIR,26.7461111111,85.3144444444,CAAN NEPAL,2025-01-26,https://e-aip.caanepal.gov.np/_uploads/_pdf/0a6d7a407e3d79dacdf78d9d81b3a37d.pdf,1
GURAS,GURAS,SIGNIFICANT_POINT,NEPAL / KATHMANDU FIR,27.4100000000,85.2294444444,CAAN NEPAL,2025-01-26,https://e-aip.caanepal.gov.np/_uploads/_pdf/0a6d7a407e3d79dacdf78d9d81b3a37d.pdf,1
HARRE,HARRE,SIGNIFICANT_POINT,NEPAL / KATHMANDU FIR,27.7250000000,83.0000000000,CAAN NEPAL,2025-01-26,https://e-aip.caanepal.gov.np/_uploads/_pdf/0a6d7a407e3d79dacdf78d9d81b3a37d.pdf,1
IGRIS,IGRIS,SIGNIFICANT_POINT,NEPAL / KATHMANDU FIR,27.6088888889,85.6219444444,CAAN NEPAL,2025-01-26,https://e-aip.caanepal.gov.np/_uploads/_pdf/0a6d7a407e3d79dacdf78d9d81b3a37d.pdf,1
KABEM,KABEM,SIGNIFICANT_POINT,NEPAL / KATHMANDU FIR,26.6533333333,85.9566666667,CAAN NEPAL,2025-01-26,https://e-aip.caanepal.gov.np/_uploads/_pdf/0a6d7a407e3d79dacdf78d9d81b3a37d.pdf,1
KIMTI,KIMTI,SIGNIFICANT_POINT,NEPAL / KATHMANDU FIR,27.4966666667,86.2677777778,CAAN NEPAL,2025-01-26,https://e-aip.caanepal.gov.np/_uploads/_pdf/0a6d7a407e3d79dacdf78d9d81b3a37d.pdf,1
LALBA,LALBA,SIGNIFICANT_POINT,NEPAL / KATHMANDU FIR,26.9472222222,85.8063888889,CAAN NEPAL,2025-01-26,https://e-aip.caanepal.gov.np/_uploads/_pdf/0a6d7a407e3d79dacdf78d9d81b3a37d.pdf,1
LALEK,LALEK,SIGNIFICANT_POINT,NEPAL / KATHMANDU FIR,26.6363888889,85.8641666667,CAAN NEPAL,2025-01-26,https://e-aip.caanepal.gov.np/_uploads/_pdf/0a6d7a407e3d79dacdf78d9d81b3a37d.pdf,1
