ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
ABBEY,ABBEY,SIGNIFICANT_POINT,HONG KONG FIR,22.2697222222,114.9238666667,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
ADLAD,ADLAD,SIGNIFICANT_POINT,HONG KONG FIR,22.5113166667,114.3312694444,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
AGOMU,AGOMU,SIGNIFICANT_POINT,HONG KONG FIR,22.5042138889,114.3749611111,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
AKEKU,AKEKU,SIGNIFICANT_POINT,HONG KONG FIR,21.5717583333,117.0526666667,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
ALDOM,ALDOM,SIGNIFICANT_POINT,HONG KONG FIR,19.8359250000,114.3740055556,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
ALLEY,ALLEY,SIGNIFICANT_POINT,HONG KONG FIR,21.0864305556,113.7859722222,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
ANRUX,ANRUX,SIGNIFICANT_POINT,HONG KONG FIR,22.4515916667,114.2116000000,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
ARGON,ARGON,SIGNIFICANT_POINT,HONG KONG FIR,22.1979333333,113.7299083333,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
ASOBA,ASOBA,SIGNIFICANT_POINT,HONG KONG FIR,17.3727777778,114.5702777778,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
ATIKO,ATIKO,SIGNIFICANT_POINT,HONG KONG FIR,21.8082111111,113.5405666667,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
BAKER,BAKER,SIGNIFICANT_POINT,HONG KONG FIR,21.2172222222,114.6519444444,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
BEKOL,BEKOL,SIGNIFICANT_POINT,HONG KONG FIR,22.5433333333,114.1333333333,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
BESDA,BESDA,SIGNIFICANT_POINT,HONG KONG FIR,22.0341972222,116.7791694444,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
BETTY,BETTY,SIGNIFICANT_POINT,HONG KONG FIR,21.4863388889,114.5588666667,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
BIGEX,BIGEX,SIGNIFICANT_POINT,HONG KONG FIR,22.2195416667,114.0300555556,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
BOKAG,BOKAG,SIGNIFICANT_POINT,HONG KONG FIR,22.5296250000,114.2241833333,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
BORDA,BORDA,SIGNIFICANT_POINT,HONG KONG FIR,21.6923250000,113.4080583333,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
BUMDI,BUMDI,SIGNIFICANT_POINT,HONG KONG FIR,22.3610055556,114.3146138889,CAD HONG KONG,2026-06-11,https://www.ais.gov.hk/eaip_20260514/2026-06-11-000000/html/eAIP/VH-ENR-4.4-en-US.html,
