ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
AGUAN,AGUAN,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,15.8983333333,-85.4297222222,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ALFRA,ALFRA,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,14.1747222222,-86.8269444444,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ALIGO,ALIGO,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,17.0800000000,-89.4752777778,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ALMOR,ALMOR,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,17.6525000000,-87.8947200000,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ALORO,ALORO,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,13.3866666667,-83.5116666667,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ALSAL,ALSAL,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,14.2705555556,-92.7280555556,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ALTEG,ALTEG,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,12.5599288889,-87.9791836111,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
AMARU,AMARU,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,17.2263888889,-89.5813888889,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
AMAYO,AMAYO,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,10.2848611111,-85.4568611111,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
AMESA,AMESA,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,13.6214244444,-89.7368797222,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
AMESI,AMESI,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,16.4358055556,-84.2097500000,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
AMIDA,AMIDA,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,18.6294444444,-87.3016666667,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
AMINU,AMINU,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,17.2830400000,-88.9632500000,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
AMUBI,AMUBI,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,11.6049166667,-82.7185277778,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
AMUDA,AMUDA,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,14.9230555556,-89.9466666667,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
AMUVO,AMUVO,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,13.0119761111,-88.5482705556,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ANEGA,ANEGA,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,17.2969400000,-87.9591700000,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ANEPU,ANEPU,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,18.3388888889,-87.9416666667,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ANGEL,ANGEL,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,14.3341666667,-86.9375000000,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ANIKO,ANIKO,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,19.0486111111,-86.9063888889,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ANLON,ANLON,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,1.4166666667,-84.8733333333,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ANREX,ANREX,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,13.2983333333,-94.4533333333,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ANSON,ANSON,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,10.7073333333,-82.6359166667,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ARATI,ARATI,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,14.7911111111,-89.9013888889,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ARENA,ARENA,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,10.3638611111,-84.5689722222,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ARITA,ARITA,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,14.8578672222,-87.6233661111,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ARTOM,ARTOM,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,1.4166666667,-87.4750000000,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ASOKU,ASOKU,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,16.0766666667,-91.3822222222,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ATUMA,ATUMA,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,14.0172027778,-88.7476308333,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
ATUTO,ATUTO,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,17.8166666667,-90.4100000000,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
AVAKO,AVAKO,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,17.1263900000,-88.3797200000,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
BARVA,BARVA,SIGNIFICANT_POINT,CENTRAL AMERICA / COCESNA FIR,10.1986111111,-84.0550833333,COCESNA,2026-04-16,https://www.cocesna.org/aipca/AIP_2656/Eurocontrol/COCESNA/2026-04-16-NON%20AIRAC/html/eAIP/ES-CS-ENR-4.4-es-ES.html,
