ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
ALRAN,ALRAN,SIGNIFICANT_POINT,MAURITIUS FIR,-10.0000000000,56.3733333333,DCAM MAURITIUS,2025-05-15,https://civil-aviation.govmu.org/eAIP/eAIPMauritius/final/2025-05-15-Non-AIRAC/html/eAIP/ENR-4.4-en-GB.html,
AMBAN,AMBAN,SIGNIFICANT_POINT,MAURITIUS FIR,-10.0000000000,55.6483333333,DCAM MAURITIUS,2025-05-15,https://civil-aviation.govmu.org/eAIP/eAIPMauritius/final/2025-05-15-Non-AIRAC/html/eAIP/ENR-4.4-en-GB.html,
AMBOD,AMBOD,SIGNIFICANT_POINT,MAURITIUS FIR,-17.3783333333,55.5000000000,DCAM MAURITIUS,2025-05-15,https://civil-aviation.govmu.org/eAIP/eAIPMauritius/final/2025-05-15-Non-AIRAC/html/eAIP/ENR-4.4-en-GB.html,
APKUD,APKUD,SIGNIFICANT_POINT,MAURITIUS FIR,-6.3669055556,63.1755416667,DCAM MAURITIUS,2025-05-15,https://civil-aviation.govmu.org/eAIP/eAIPMauritius/final/2025-05-15-Non-AIRAC/html/eAIP/ENR-4.4-en-GB.html,
APMER,APMER,SIGNIFICANT_POINT,MAURITIUS FIR,-6.3116333333,62.6962611111,DCAM MAURITIUS,2025-05-15,https://civil-aviation.govmu.org/eAIP/eAIPMauritius/final/2025-05-15-Non-AIRAC/html/eAIP/ENR-4.4-en-GB.html,
APNAB,APNAB,SIGNIFICANT_POINT,MAURITIUS FIR,-6.9759861111,68.8893444444,DCAM MAURITIUS,2025-05-15,https://civil-aviation.govmu.org/eAIP/eAIPMauritius/final/2025-05-15-Non-AIRAC/html/eAIP/ENR-4.4-en-GB.html,
APRAD,APRAD,SIGNIFICANT_POINT,MAURITIUS FIR,-20.4650000000,57.4550000000,DCAM MAURITIUS,2025-05-15,https://civil-aviation.govmu.org/eAIP/eAIPMauritius/final/2025-05-15-Non-AIRAC/html/eAIP/ENR-4.4-en-GB.html,
ATLOP,ATLOP,SIGNIFICANT_POINT,MAURITIUS FIR,-21.4691666667,60.0922222222,DCAM MAURITIUS,2025-05-15,https://civil-aviation.govmu.org/eAIP/eAIPMauritius/final/2025-05-15-Non-AIRAC/html/eAIP/ENR-4.4-en-GB.html,
AXUMO,AXUMO,SIGNIFICANT_POINT,MAURITIUS FIR,-20.2216666667,57.5183333333,DCAM MAURITIUS,2025-05-15,https://civil-aviation.govmu.org/eAIP/eAIPMauritius/final/2025-05-15-Non-AIRAC/html/eAIP/ENR-4.4-en-GB.html,
BIGAR,BIGAR,SIGNIFICANT_POINT,MAURITIUS FIR,-20.3485861111,57.5143361111,DCAM MAURITIUS,2025-05-15,https://civil-aviation.govmu.org/eAIP/eAIPMauritius/final/2025-05-15-Non-AIRAC/html/eAIP/ENR-4.4-en-GB.html,
BIGSA,BIGSA,SIGNIFICANT_POINT,MAURITIUS FIR,-40.2166666667,57.0000000000,DCAM MAURITIUS,2025-05-15,https://civil-aviation.govmu.org/eAIP/eAIPMauritius/final/2025-05-15-Non-AIRAC/html/eAIP/ENR-4.4-en-GB.html,
