ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
ABRAD,ABRAD,SIGNIFICANT_POINT,ESTONIA / EETT FIR,58.4266666667,22.6652777778,EANS ESTONIA,2026-06-11,https://eaip.eans.ee/2026-06-11/html/eAIP/EE-ENR-4.4-en-GB.html,
ABSAK,ABSAK,SIGNIFICANT_POINT,ESTONIA / EETT FIR,58.3119444444,27.0361111111,EANS ESTONIA,2026-06-11,https://eaip.eans.ee/2026-06-11/html/eAIP/EE-ENR-4.4-en-GB.html,
ADAKU,ADAKU,SIGNIFICANT_POINT,ESTONIA / EETT FIR,59.3266666667,24.5830555556,EANS ESTONIA,2026-06-11,https://eaip.eans.ee/2026-06-11/html/eAIP/EE-ENR-4.4-en-GB.html,
ADBIB,ADBIB,SIGNIFICANT_POINT,ESTONIA / EETT FIR,58.5713888889,23.1691666667,EANS ESTONIA,2026-06-11,https://eaip.eans.ee/2026-06-11/html/eAIP/EE-ENR-4.4-en-GB.html,
ADVES,ADVES,SIGNIFICANT_POINT,ESTONIA / EETT FIR,58.0322222222,22.6688888889,EANS ESTONIA,2026-06-11,https://eaip.eans.ee/2026-06-11/html/eAIP/EE-ENR-4.4-en-GB.html,
AFMOG,AFMOG,SIGNIFICANT_POINT,ESTONIA / EETT FIR,59.2611111111,23.0508333333,EANS ESTONIA,2026-06-11,https://eaip.eans.ee/2026-06-11/html/eAIP/EE-ENR-4.4-en-GB.html,
ANAMA,ANAMA,SIGNIFICANT_POINT,ESTONIA / EETT FIR,58.4163888889,24.4783333333,EANS ESTONIA,2026-06-11,https://eaip.eans.ee/2026-06-11/html/eAIP/EE-ENR-4.4-en-GB.html,
ARMUV,ARMUV,SIGNIFICANT_POINT,ESTONIA / EETT FIR,59.1402777778,23.4669444444,EANS ESTONIA,2026-06-11,https://eaip.eans.ee/2026-06-11/html/eAIP/EE-ENR-4.4-en-GB.html,
ARSAM,ARSAM,SIGNIFICANT_POINT,ESTONIA / EETT FIR,59.4475000000,25.3569444444,EANS ESTONIA,2026-06-11,https://eaip.eans.ee/2026-06-11/html/eAIP/EE-ENR-4.4-en-GB.html,
ASVAR,ASVAR,SIGNIFICANT_POINT,ESTONIA / EETT FIR,58.4327777778,25.3494444444,EANS ESTONIA,2026-06-11,https://eaip.eans.ee/2026-06-11/html/eAIP/EE-ENR-4.4-en-GB.html,
AXNUV,AXNUV,SIGNIFICANT_POINT,ESTONIA / EETT FIR,58.4033333333,23.7125000000,EANS ESTONIA,2026-06-11,https://eaip.eans.ee/2026-06-11/html/eAIP/EE-ENR-4.4-en-GB.html,
BALTI,BALTI,SIGNIFICANT_POINT,ESTONIA / EETT FIR,59.9041666667,25.2516666667,EANS ESTONIA,2026-06-11,https://eaip.eans.ee/2026-06-11/html/eAIP/EE-ENR-4.4-en-GB.html,
BEBVI,BEBVI,SIGNIFICANT_POINT,ESTONIA / EETT FIR,58.1216666667,22.5108333333,EANS ESTONIA,2026-06-11,https://eaip.eans.ee/2026-06-11/html/eAIP/EE-ENR-4.4-en-GB.html,
