ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
ABOSI,ABOSI,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,39.7791666667,-1.2847222222,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
ABRIX,ABRIX,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,43.6463888889,-1.9625000000,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
ABUPI,ABUPI,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,41.7511111111,-7.2361111111,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
ADINO,ADINO,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,40.0177777778,-6.3736111111,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
ADKIM,ADKIM,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,35.8333333333,-6.0283333333,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
ADOKI,ADOKI,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,27.7322222222,-15.4294444444,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
ADORO,ADORO,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,41.4830555556,-6.2800000000,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
ADOVO,ADOVO,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,28.5680555556,-13.7950000000,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
ADRAS,ADRAS,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,36.8322222222,-2.7275000000,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
ADROL,ADROL,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,39.1936111111,2.8419444444,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
ADROX,ADROX,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,44.3466666667,-8.8144444444,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
ADUBI,ADUBI,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,35.8333333333,-6.3238888889,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
ADUXO,ADUXO,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,40.5122222222,-2.0641666667,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
ADVAT,ADVAT,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,45.0000000000,-9.4697222222,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
AFEMI,AFEMI,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,42.5425000000,-1.7700000000,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
AGADO,AGADO,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,41.8727777778,-8.9266666667,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
AGENA,AGENA,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,41.5447222222,3.4886111111,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
AGIDO,AGIDO,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,37.1958333333,-2.6269444444,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
AKAMU,AKAMU,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,39.6577777778,2.4713888889,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
AKOKI,AKOKI,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,40.2244444444,-3.2186111111,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
AKOPA,AKOPA,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,41.6811111111,1.7916666667,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
ALAOS,ALAOS,SIGNIFICANT_POINT,SPAIN / LECM-LECB-GCCC FIR,37.2122222222,-6.5513888889,ENAIRE SPAIN,2026-06-11,https://aip.enaire.es/aip/contenido_AIP/ENR/LE_ENR_4_4_en.html,
