ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
AAARG,AAARG,ENROUTE_FIX,UNITED STATES / K,32.6939638800,-78.0512944400,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AAARN,AAARN,ENROUTE_FIX,UNITED STATES / K7,34.2814972200,-85.2681722200,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AABER,AABER,ENROUTE_FIX,UNITED STATES / K7,26.0727777700,-81.3300000000,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AADCO,AADCO,ENROUTE_FIX,UNITED STATES / K2,39.7848194400,-112.4618250000,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AADEN,AADEN,ENROUTE_FIX,UNITED STATES / K7,31.5411333300,-82.9285305500,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AADMS,AADMS,ENROUTE_FIX,UNITED STATES / K6,42.5854250000,-71.3189250000,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AADPO,AADPO,ENROUTE_FIX,UNITED STATES / P,-14.1687611100,-170.9675333300,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AAGIN,AAGIN,ENROUTE_FIX,UNITED STATES / K5,40.5831138800,-88.3139111100,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AALAN,AALAN,ENROUTE_FIX,UNITED STATES / K2,36.5887194400,-113.9183583300,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AALIX,AALIX,ENROUTE_FIX,UNITED STATES / K1,48.5044138800,-121.7563472200,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AALYS,AALYS,ENROUTE_FIX,UNITED STATES / K6,44.6731805500,-69.0696611100,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AAMOS,AAMOS,ENROUTE_FIX,UNITED STATES / K7,30.5149722200,-81.9750555500,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AAMYY,AAMYY,ENROUTE_FIX,UNITED STATES / P,51.3999305500,171.5537277700,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AANNE,AANNE,ENROUTE_FIX,UNITED STATES / K2,36.3517055500,-121.3636694400,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AANTS,AANTS,ENROUTE_FIX,UNITED STATES / K6,38.7186555500,-78.4626472200,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AARCH,AARCH,ENROUTE_FIX,UNITED STATES / K5,39.0936111100,-89.1625000000,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AARES,AARES,ENROUTE_FIX,UNITED STATES / PH,20.9986111100,-157.0950000000,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AARNN,AARNN,ENROUTE_FIX,UNITED STATES / K7,36.3787750000,-78.0177916600,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AARPS,AARPS,ENROUTE_FIX,UNITED STATES / K7,26.7067583300,-80.2709111100,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
AARWX,AARWX,ENROUTE_FIX,UNITED STATES / K7,26.6447083300,-80.3412305500,FAA NASR,2026-06-11,https://nfdc.faa.gov/webContent/28DaySub/extra/11_Jun_2026_FIX_CSV.zip,
