ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
ABKEM,ABKEM,SIGNIFICANT_POINT,FINLAND / EFIN FIR,64.4819444444,25.8113888889,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ABLOP,ABLOP,SIGNIFICANT_POINT,FINLAND / EFIN FIR,68.1488888889,24.7550000000,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ABOXU,ABOXU,SIGNIFICANT_POINT,FINLAND / EFIN FIR,63.5825000000,25.3913888889,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ABSER,ABSER,SIGNIFICANT_POINT,FINLAND / EFIN FIR,59.8972222222,22.9966666667,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ADEDO,ADEDO,SIGNIFICANT_POINT,FINLAND / EFIN FIR,62.7711111111,25.0600000000,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ADEXU,ADEXU,SIGNIFICANT_POINT,FINLAND / EFIN FIR,68.7708333333,27.6197222222,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ADIVO,ADIVO,SIGNIFICANT_POINT,FINLAND / EFIN FIR,60.2975000000,23.9813888889,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ADOPO,ADOPO,SIGNIFICANT_POINT,FINLAND / EFIN FIR,61.4233333333,26.8305555556,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ADSEB,ADSEB,SIGNIFICANT_POINT,FINLAND / EFIN FIR,60.9027777778,28.2663888889,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
AGAMO,AGAMO,SIGNIFICANT_POINT,FINLAND / EFIN FIR,63.1466666667,31.2650000000,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
AGIVU,AGIVU,SIGNIFICANT_POINT,FINLAND / EFIN FIR,62.6483333333,29.8386111111,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ALAMI,ALAMI,SIGNIFICANT_POINT,FINLAND / EFIN FIR,59.0477777778,20.9158333333,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
AMASU,AMASU,SIGNIFICANT_POINT,FINLAND / EFIN FIR,62.3786111111,23.3541666667,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
AMROT,AMROT,SIGNIFICANT_POINT,FINLAND / EFIN FIR,60.4938888889,23.7091666667,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
AMUBA,AMUBA,SIGNIFICANT_POINT,FINLAND / EFIN FIR,67.3650000000,26.3366666667,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
AMULU,AMULU,SIGNIFICANT_POINT,FINLAND / EFIN FIR,67.3802777778,24.3783333333,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
AMUPO,AMUPO,SIGNIFICANT_POINT,FINLAND / EFIN FIR,61.1658333333,22.6380555556,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
APTEN,APTEN,SIGNIFICANT_POINT,FINLAND / EFIN FIR,66.4033333333,25.0727777778,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ARBEV,ARBEV,SIGNIFICANT_POINT,FINLAND / EFIN FIR,61.6269444444,24.4944444444,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ARFUT,ARFUT,SIGNIFICANT_POINT,FINLAND / EFIN FIR,66.3172222222,26.3691666667,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ARLOM,ARLOM,SIGNIFICANT_POINT,FINLAND / EFIN FIR,60.7902777778,27.7313888889,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ARVEP,ARVEP,SIGNIFICANT_POINT,FINLAND / EFIN FIR,60.2494444444,26.3991666667,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ARZON,ARZON,SIGNIFICANT_POINT,FINLAND / EFIN FIR,66.1988888889,24.5144444444,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ASLUP,ASLUP,SIGNIFICANT_POINT,FINLAND / EFIN FIR,65.3986111111,25.1280555556,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ASPEM,ASPEM,SIGNIFICANT_POINT,FINLAND / EFIN FIR,62.1972222222,29.1008333333,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ASRIS,ASRIS,SIGNIFICANT_POINT,FINLAND / EFIN FIR,64.1897222222,27.2611111111,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ASTUX,ASTUX,SIGNIFICANT_POINT,FINLAND / EFIN FIR,62.5569444444,27.4541666667,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ASVUG,ASVUG,SIGNIFICANT_POINT,FINLAND / EFIN FIR,69.9311111111,27.1391666667,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ATLUL,ATLUL,SIGNIFICANT_POINT,FINLAND / EFIN FIR,62.5658333333,27.7713888889,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ATPEL,ATPEL,SIGNIFICANT_POINT,FINLAND / EFIN FIR,63.3994444444,22.5355555556,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
ATSEN,ATSEN,SIGNIFICANT_POINT,FINLAND / EFIN FIR,62.0769444444,25.3166666667,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
AXUTI,AXUTI,SIGNIFICANT_POINT,FINLAND / EFIN FIR,62.8838888889,21.0736111111,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
BAKLA,BAKLA,SIGNIFICANT_POINT,FINLAND / EFIN FIR,61.3625000000,19.4158333333,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
BALTI,BALTI,SIGNIFICANT_POINT,FINLAND / EFIN FIR,59.9041666667,25.2516666667,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
BAPTU,BAPTU,SIGNIFICANT_POINT,FINLAND / EFIN FIR,63.2844444444,22.9663888889,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
BAVMO,BAVMO,SIGNIFICANT_POINT,FINLAND / EFIN FIR,63.9494444444,26.5502777778,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
BEGSU,BEGSU,SIGNIFICANT_POINT,FINLAND / EFIN FIR,62.6158333333,21.7825000000,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
BEPEM,BEPEM,SIGNIFICANT_POINT,FINLAND / EFIN FIR,61.9788888889,25.3119444444,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
BEVNA,BEVNA,SIGNIFICANT_POINT,FINLAND / EFIN FIR,65.9558333333,28.3822222222,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
BEVOM,BEVOM,SIGNIFICANT_POINT,FINLAND / EFIN FIR,60.4644444444,22.4769444444,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
BEXUL,BEXUL,SIGNIFICANT_POINT,FINLAND / EFIN FIR,65.5927777778,24.1538888889,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
BODRI,BODRI,SIGNIFICANT_POINT,FINLAND / EFIN FIR,62.4150000000,19.8241666667,FINTRAFFIC FINLAND,2026-06-11,https://www.ais.fi/eaip/003-2026_2026_06_11/eAIP/EF-ENR%204.4-en-GB.html,
