ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
ABETI,ABETI,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,47.6777777778,17.0127777778,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
ABONY,ABONY,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,47.2708333333,19.9791666667,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
ABULI,ABULI,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,48.4841666667,20.4866666667,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
ADGOH,ADGOH,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,47.1830555556,16.3855555556,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
ALAMU,ALAMU,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,47.7369444444,18.3300000000,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
AMRAX,AMRAX,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,48.0913888889,19.3661111111,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
ANIWE,ANIWE,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,48.1583333333,21.4416666667,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
ARSIN,ARSIN,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,47.5672222222,16.7536111111,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
BABIT,BABIT,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,45.9316666667,18.9288888889,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
BABOX,BABOX,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,46.8958333333,19.6830555556,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
BADOR,BADOR,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,47.5736111111,22.1080555556,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
BADOV,BADOV,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,48.0211111111,18.8158333333,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
BALAP,BALAP,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,48.0680555556,19.2500000000,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
BALUX,BALUX,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,47.3408333333,19.1294444444,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
BAREB,BAREB,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,45.7461111111,18.4133333333,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
BEGLA,BEGLA,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,47.8308333333,17.1144444444,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
BETED,BETED,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,48.0833333333,20.2333333333,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
BINKU,BINKU,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,46.9261111111,20.4591666667,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
BODZA,BODZA,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,47.5591666667,18.4302777778,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
BOKSI,BOKSI,SIGNIFICANT_POINT,HUNGARY / LHCC FIR,46.6352777778,19.8308333333,HUNGAROCONTROL HUNGARY,2026-05-14,https://ais-en.hungarocontrol.hu/aip/2026-05-14/2026-05-14-AIRAC/html/eAIP/LH-ENR-4.4.1-en-HU.html,
