ident,name,point_type,region,lat,lon,source,provider,effective_date,source_url,validation_status,source_page,page_effective_date
AKUMU,AKUMU,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-1.0083055556,34.0265500000,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
ALEMU,ALEMU,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,3.9969611111,39.6675972222,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
ALKON,ALKON,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-0.4333333333,33.9666666667,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
AMSAD,AMSAD,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-6.2218333333,43.9935083333,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
ANTAX,ANTAX,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,4.0000000000,35.3800000000,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
ANTON,ANTON,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-1.3660861111,36.8636944444,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
ANTUK,ANTUK,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-1.3807527778,36.8436555556,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
ANVET,ANVET,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-3.1874583333,44.0000000000,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
ANVIV,ANVIV,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-1.4977722222,36.2853805556,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
ANVOX,ANVOX,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-2.7260361111,36.1628138889,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
APDIK,APDIK,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-2.4702750000,36.6754861111,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
APDUS,APDUS,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-1.1383333333,37.1750000000,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
APGEM,APGEM,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,4.2058333333,34.3236111111,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
APGEP,APGEP,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-0.5807361111,36.3768472222,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
APGIG,APGIG,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-0.2377777778,36.9616666667,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
APGOG,APGOG,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-2.4641666667,40.9077777778,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
APKEM,APKEM,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,1.9416666667,40.0525000000,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
APKUB,APKUB,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-1.0956638889,36.1453361111,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
APLOG,APLOG,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-1.5017638889,34.9210555556,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
APLOP,APLOP,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-3.4098416667,40.1383305556,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
APMAV,APMAV,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-2.2459138889,37.3291416667,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
APMES,APMES,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-0.5211111111,35.5075000000,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
APNEX,APNEX,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,1.9955388889,40.9859305556,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
APNOM,APNOM,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-1.5171666667,36.8269694444,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
APRAK,APRAK,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-1.3852777778,35.2963888889,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
ASOLE,ASOLE,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-3.6097833333,38.0269611111,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
ATUDU,ATUDU,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-1.2787083333,37.1530611111,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
ATUTA,ATUTA,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-2.1041416667,37.4231861111,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
AVAGI,AVAGI,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,4.0000000000,35.4326611111,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
AVAVO,AVAVO,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,1.5238888889,40.1305555556,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
AVEDI,AVEDI,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,3.9969694444,40.5222472222,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
AVENA,AVENA,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,-1.0886111111,37.1433333333,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
AVESO,AVESO,SIGNIFICANT_POINT,KENYA / NAIROBI FIR,0.9655166667,39.5374361111,AIP,KCAA,2026-03-19,KCAA e-AIP ENR 4.4 (authenticated portal),AIP_EXTRACTED,138,15 MAY 2025
