ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
ABAVA,ABAVA,SIGNIFICANT_POINT,LATVIA / EVRR FIR,56.6763888889,26.5433333333,LGS LATVIA,2026-05-14,https://ais.lgs.lv/eAIPfiles/2026_004_14-MAY-2026/data/2026-05-14/html/eAIP/EV-ENR-4.4-en-GB.html,
ADAXA,ADAXA,SIGNIFICANT_POINT,LATVIA / EVRR FIR,56.2977777778,18.8983333333,LGS LATVIA,2026-05-14,https://ais.lgs.lv/eAIPfiles/2026_004_14-MAY-2026/data/2026-05-14/html/eAIP/EV-ENR-4.4-en-GB.html,
ALMIK,ALMIK,SIGNIFICANT_POINT,LATVIA / EVRR FIR,56.4833333333,26.6422222222,LGS LATVIA,2026-05-14,https://ais.lgs.lv/eAIPfiles/2026_004_14-MAY-2026/data/2026-05-14/html/eAIP/EV-ENR-4.4-en-GB.html,
AMOLI,AMOLI,SIGNIFICANT_POINT,LATVIA / EVRR FIR,57.1058333333,25.2541666667,LGS LATVIA,2026-05-14,https://ais.lgs.lv/eAIPfiles/2026_004_14-MAY-2026/data/2026-05-14/html/eAIP/EV-ENR-4.4-en-GB.html,
ASKOR,ASKOR,SIGNIFICANT_POINT,LATVIA / EVRR FIR,56.3827777778,22.6127777778,LGS LATVIA,2026-05-14,https://ais.lgs.lv/eAIPfiles/2026_004_14-MAY-2026/data/2026-05-14/html/eAIP/EV-ENR-4.4-en-GB.html,
ATRAK,ATRAK,SIGNIFICANT_POINT,LATVIA / EVRR FIR,56.5911111111,23.8430555556,LGS LATVIA,2026-05-14,https://ais.lgs.lv/eAIPfiles/2026_004_14-MAY-2026/data/2026-05-14/html/eAIP/EV-ENR-4.4-en-GB.html,
BARVA,BARVA,SIGNIFICANT_POINT,LATVIA / EVRR FIR,56.8538888889,25.5466666667,LGS LATVIA,2026-05-14,https://ais.lgs.lv/eAIPfiles/2026_004_14-MAY-2026/data/2026-05-14/html/eAIP/EV-ENR-4.4-en-GB.html,
BERIL,BERIL,SIGNIFICANT_POINT,LATVIA / EVRR FIR,56.3630555556,23.4263888889,LGS LATVIA,2026-05-14,https://ais.lgs.lv/eAIPfiles/2026_004_14-MAY-2026/data/2026-05-14/html/eAIP/EV-ENR-4.4-en-GB.html,
BETAL,BETAL,SIGNIFICANT_POINT,LATVIA / EVRR FIR,56.8191666667,26.4694444444,LGS LATVIA,2026-05-14,https://ais.lgs.lv/eAIPfiles/2026_004_14-MAY-2026/data/2026-05-14/html/eAIP/EV-ENR-4.4-en-GB.html,
BIENE,BIENE,SIGNIFICANT_POINT,LATVIA / EVRR FIR,56.7583333333,21.8922222222,LGS LATVIA,2026-05-14,https://ais.lgs.lv/eAIPfiles/2026_004_14-MAY-2026/data/2026-05-14/html/eAIP/EV-ENR-4.4-en-GB.html,
DEREX,DEREX,SIGNIFICANT_POINT,LATVIA / EVRR FIR,57.6727777778,20.2108333333,LGS LATVIA,2026-05-14,https://ais.lgs.lv/eAIPfiles/2026_004_14-MAY-2026/data/2026-05-14/html/eAIP/EV-ENR-4.4-en-GB.html,
DESON,DESON,SIGNIFICANT_POINT,LATVIA / EVRR FIR,56.8947222222,20.4202777778,LGS LATVIA,2026-05-14,https://ais.lgs.lv/eAIPfiles/2026_004_14-MAY-2026/data/2026-05-14/html/eAIP/EV-ENR-4.4-en-GB.html,
DOKOT,DOKOT,SIGNIFICANT_POINT,LATVIA / EVRR FIR,56.2258333333,21.3627777778,LGS LATVIA,2026-05-14,https://ais.lgs.lv/eAIPfiles/2026_004_14-MAY-2026/data/2026-05-14/html/eAIP/EV-ENR-4.4-en-GB.html,
DOLAT,DOLAT,SIGNIFICANT_POINT,LATVIA / EVRR FIR,58.0105555556,24.9836111111,LGS LATVIA,2026-05-14,https://ais.lgs.lv/eAIPfiles/2026_004_14-MAY-2026/data/2026-05-14/html/eAIP/EV-ENR-4.4-en-GB.html,
DOLUN,DOLUN,SIGNIFICANT_POINT,LATVIA / EVRR FIR,56.8266666667,27.4680555556,LGS LATVIA,2026-05-14,https://ais.lgs.lv/eAIPfiles/2026_004_14-MAY-2026/data/2026-05-14/html/eAIP/EV-ENR-4.4-en-GB.html,
DUBIN,DUBIN,SIGNIFICANT_POINT,LATVIA / EVRR FIR,55.8127777778,26.9780555556,LGS LATVIA,2026-05-14,https://ais.lgs.lv/eAIPfiles/2026_004_14-MAY-2026/data/2026-05-14/html/eAIP/EV-ENR-4.4-en-GB.html,
EDERA,EDERA,SIGNIFICANT_POINT,LATVIA / EVRR FIR,57.1408333333,20.5938888889,LGS LATVIA,2026-05-14,https://ais.lgs.lv/eAIPfiles/2026_004_14-MAY-2026/data/2026-05-14/html/eAIP/EV-ENR-4.4-en-GB.html,
