ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
ABBEW,ABBEW,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,50.5033000000,-3.4760111111,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ABBOT,ABBOT,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,52.0161111111,0.5995805556,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ABEDA,ABEDA,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,52.3276750000,1.8710666667,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ABEVI,ABEVI,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,54.7075000000,-2.7747888889,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ABGEP,ABGEP,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,53.4275888889,-4.8610305556,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ABKAT,ABKAT,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,54.1480888889,-1.9796361111,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ABKIM,ABKIM,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,50.8452777778,-1.9827777778,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ABLIN,ABLIN,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,52.7827388889,-4.9926055556,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ABLUC,ABLUC,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,53.7990972222,-4.5127527778,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ABSAV,ABSAV,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,50.6413722222,-1.1747361111,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ABSUN,ABSUN,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,54.2922777778,-6.2549277778,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ABTOS,ABTOS,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,53.2458111111,0.4267472222,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ABTUM,ABTUM,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,51.4343500000,1.3747166667,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ABWIV,ABWIV,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,51.8801861111,-3.0090833333,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ACAGE,ACAGE,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,55.0000000000,0.5169444444,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ACBAZ,ACBAZ,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,51.7446305556,-3.0374416667,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ACCAQ,ACCAQ,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,51.8646166667,-3.8432305556,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ACCOP,ACCOP,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,51.9289805556,-3.3825194444,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ADASI,ADASI,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,59.2208777778,-6.2920750000,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ADELU,ADELU,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,53.4418000000,-1.5368444444,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ADGEG,ADGEG,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,53.2286111111,2.3183333333,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ADHAV,ADHAV,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,51.9146888889,-5.2301416667,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ADKIK,ADKIK,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,50.7968111111,-2.5459611111,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
ADLOG,ADLOG,SIGNIFICANT_POINT,UNITED KINGDOM / EGTT-EGPX FIR,50.3236111111,-0.8259444444,NATS UK,2026-06-11,https://www.aurora.nats.co.uk/htmlAIP/Publications/2026-06-11-AIRAC/html/eAIP/EG-ENR-4.4-en-GB.html,
