ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
ABALO,ABALO,SIGNIFICANT_POINT,PORTUGAL / LPPC-LPPO FIR,32.3311111111,-18.1302777778,NAV PORTUGAL,2026-06-11,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-4.4-en-PT.html,
ABETO,ABETO,SIGNIFICANT_POINT,PORTUGAL / LPPC-LPPO FIR,40.4297222222,-8.0563888889,NAV PORTUGAL,2026-06-11,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-4.4-en-PT.html,
ABLEG,ABLEG,SIGNIFICANT_POINT,PORTUGAL / LPPC-LPPO FIR,40.7227777778,-8.4311111111,NAV PORTUGAL,2026-06-11,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-4.4-en-PT.html,
ABONU,ABONU,SIGNIFICANT_POINT,PORTUGAL / LPPC-LPPO FIR,38.5975000000,-28.0072222222,NAV PORTUGAL,2026-06-11,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-4.4-en-PT.html,
ABRAT,ABRAT,SIGNIFICANT_POINT,PORTUGAL / LPPC-LPPO FIR,39.8216666667,-7.6541666667,NAV PORTUGAL,2026-06-11,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-4.4-en-PT.html,
ABRIL,ABRIL,SIGNIFICANT_POINT,PORTUGAL / LPPC-LPPO FIR,40.3961111111,-8.5802777778,NAV PORTUGAL,2026-06-11,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-4.4-en-PT.html,
ABUPI,ABUPI,SIGNIFICANT_POINT,PORTUGAL / LPPC-LPPO FIR,41.7511111111,-7.2361111111,NAV PORTUGAL,2026-06-11,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-4.4-en-PT.html,
ABUSU,ABUSU,SIGNIFICANT_POINT,PORTUGAL / LPPC-LPPO FIR,32.8669444444,-16.6355555556,NAV PORTUGAL,2026-06-11,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-4.4-en-PT.html,
ADILI,ADILI,SIGNIFICANT_POINT,PORTUGAL / LPPC-LPPO FIR,35.9666666667,-9.5727777778,NAV PORTUGAL,2026-06-11,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-4.4-en-PT.html,
ADINO,ADINO,SIGNIFICANT_POINT,PORTUGAL / LPPC-LPPO FIR,40.0177777778,-6.3736111111,NAV PORTUGAL,2026-06-11,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-4.4-en-PT.html,
ADNOV,ADNOV,SIGNIFICANT_POINT,PORTUGAL / LPPC-LPPO FIR,41.5183333333,-8.7530555556,NAV PORTUGAL,2026-06-11,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-4.4-en-PT.html,
ADORO,ADORO,SIGNIFICANT_POINT,PORTUGAL / LPPC-LPPO FIR,41.4830555556,-6.2800000000,NAV PORTUGAL,2026-06-11,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-4.4-en-PT.html,
