ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
ABAPU,ABAPU,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-17.8273222222,19.0337750000,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
AGRAM,AGRAM,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-18.0011166667,21.6662027778,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
ANSUX,ANSUX,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-23.7698916667,14.9061388889,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
ANTEP,ANTEP,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-24.0000000000,13.6011111111,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
ANTOR,ANTOR,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-23.0790416667,20.0000000000,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
ANVAG,ANVAG,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-17.3917000000,15.8228000000,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
APDEM,APDEM,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-23.6523944444,17.2096500000,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
APDOV,APDOV,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-24.7052222222,19.9997722222,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
APGAS,APGAS,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-26.5502500000,15.8335277778,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
APGEK,APGEK,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-21.9513833333,14.2986388889,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
APGIB,APGIB,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-23.5765000000,18.1690472222,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
APNIN,APNIN,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-22.0200000000,17.4133333333,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
ATUPI,ATUPI,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-23.1704833333,17.1320555556,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
AVIPU,AVIPU,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-17.9350000000,22.4799972222,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
AVOGU,AVOGU,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-20.0187972222,21.0002444444,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
AXODO,AXODO,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-22.7158916667,18.3268138889,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
BOPAN,BOPAN,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-22.4033333333,20.0000000000,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
BUGRO,BUGRO,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-17.8366861111,22.4337250000,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
DIMIX,DIMIX,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-17.7800000000,10.5000000000,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
DUGNU,DUGNU,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-20.1080083333,13.6928750000,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
DULGO,DULGO,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-25.0000000000,13.9855555556,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
DUMPO,DUMPO,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-18.7133333333,21.0000000000,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
DUNLO,DUNLO,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-22.0200000000,19.0416666667,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
DUNRU,DUNRU,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-17.9561111111,19.7205555556,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
DUPKI,DUPKI,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-21.7168333333,21.0001388889,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
