aircraft_icao,airport_icao,airport_name,metric,flap,oat_c,limit_kg,airport_elev_ft,available_runway_m,runway_desc,source_chart,reviewer,review_date,notes
DH8C,HKNW,WILSON,TODA,0,20,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,0,25,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,0,30,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,0,35,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,0,40,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,0,45,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,0,50,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,5,20,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,5,25,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,5,30,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,5,35,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,5,40,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,5,45,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,5,50,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,10,20,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,10,25,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,10,30,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,10,35,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,10,40,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,10,45,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,10,50,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,15,20,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,15,25,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,15,30,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,15,35,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,15,40,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,15,45,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,TODA,15,50,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_TODA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,ASDA,0,20,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_ASDA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,ASDA,0,25,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_ASDA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,ASDA,0,30,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_ASDA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,ASDA,0,35,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_ASDA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,ASDA,0,40,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_ASDA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,ASDA,0,45,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_ASDA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,ASDA,0,50,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_ASDA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,ASDA,5,20,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_ASDA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,ASDA,5,25,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_ASDA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,ASDA,5,30,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_ASDA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,ASDA,5,35,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_ASDA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,ASDA,5,40,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_ASDA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,ASDA,5,45,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_ASDA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,ASDA,5,50,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_ASDA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,ASDA,10,20,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_ASDA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
DH8C,HKNW,WILSON,ASDA,10,25,,5541.0,1458.0,"07/25, 1458m by 22m; 14/32, 1548m by 24m",DH8C_ASDA_airport_HKNW,,,Chart read must use airport elevation and available runway length.
