aircraft_icao,model,metric,flap,weight_kg,elev_ft,oat_c,distance_m,source_chart,reviewer,review_date,notes
DH8B,Q200,TODA,0,12000,0,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,0,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,0,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,0,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,0,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,0,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,0,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,1000,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,1000,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,1000,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,1000,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,1000,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,1000,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,1000,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,2000,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,2000,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,2000,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,2000,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,2000,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,2000,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,2000,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,3000,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,3000,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,3000,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,3000,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,3000,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,3000,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,3000,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,4000,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,4000,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,4000,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,4000,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,4000,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,4000,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,4000,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,5000,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,5000,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,5000,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,5000,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,5000,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,5000,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,5000,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,6000,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,6000,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,6000,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,6000,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,6000,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,6000,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,6000,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,7000,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,7000,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,7000,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,7000,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,7000,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,7000,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,7000,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,8000,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,8000,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,8000,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,8000,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,8000,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,8000,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,12000,8000,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,0,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,0,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,0,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,0,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,0,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,0,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,0,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,1000,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,1000,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,1000,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,1000,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,1000,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,1000,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,1000,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,2000,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,2000,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,2000,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,2000,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,2000,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,2000,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,2000,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,3000,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,3000,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,3000,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,3000,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,3000,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,3000,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,3000,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,4000,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,4000,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,4000,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,4000,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,4000,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,4000,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,4000,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,5000,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,5000,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,5000,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,5000,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,5000,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,5000,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,5000,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,6000,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,6000,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,6000,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,6000,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,6000,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,6000,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,6000,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,7000,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,7000,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,7000,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,7000,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,7000,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,7000,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,7000,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,8000,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,8000,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,8000,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,8000,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,8000,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,8000,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,13000,8000,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,14000,0,20,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,14000,0,25,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,14000,0,30,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,14000,0,35,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,14000,0,40,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,14000,0,45,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,14000,0,50,,Q200_TODA_flap_0,,,
DH8B,Q200,TODA,0,14000,1000,20,,Q200_TODA_flap_0,,,
