ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
ALENI,ALENI,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-26.9765388889,32.1605250000,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
ALKAT,ALKAT,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-33.1834833333,25.8520638889,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
ANIXU,ANIXU,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-26.5055916667,27.1274055556,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
ANTES,ANTES,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-36.8500000000,10.0000000000,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
ANTIL,ANTIL,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-28.5063222222,16.8055694444,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
ANTOM,ANTOM,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-29.8333333333,15.0000000000,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
ANVAK,ANVAK,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-25.6724194444,31.9972861111,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
ANVAR,ANVAR,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-28.0025000000,14.5623472222,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
ANVED,ANVED,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-31.1609638889,33.1096194444,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
ANVIT,ANVIT,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-24.6666666667,30.3833333333,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
APDAK,APDAK,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-26.5509833333,29.0479555556,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
APDUR,APDUR,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-28.3221250000,25.3868888889,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
APGAP,APGAP,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-28.2865194444,31.3296833333,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
APKAP,APKAP,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-33.9885916667,20.6921194444,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
APKEK,APKEK,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-30.5275472222,20.1709222222,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
APKID,APKID,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-28.2000000000,0.0000000000,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
APKIK,APKIK,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-28.3304277778,30.5758777778,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
APKIN,APKIN,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-34.0835111111,17.0164777778,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
APLEN,APLEN,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-30.7607694444,22.0221666667,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
APLIP,APLIP,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-31.4881027778,29.3868750000,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
APLUK,APLUK,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-28.8702777778,34.4255555556,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
APMAK,APMAK,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-28.4804888889,25.5320027778,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
APMAT,APMAT,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-28.7899388889,30.9498972222,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
APMIN,APMIN,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-28.0106805556,25.8577916667,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
APMUL,APMUL,SIGNIFICANT_POINT,SOUTH AFRICA / FAJA-FACA FIR,-31.2964944444,28.1218305556,SACAA,2026-04-15,https://caasanwebsitestorage.blob.core.windows.net/aeronautical-information-publication/Enroute%20(15_APR_2026).pdf,439
