ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
APKIX,APKIX,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,11.3666666667,43.1816666667,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
APNEX,APNEX,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,1.9991666667,40.9827777778,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
ALNAB,ALNAB,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,8.9186111111,44.2172222222,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
ALKOS,ALKOS,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,7.6750000000,45.7608333333,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
AMPEX,AMPEX,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,8.1658333333,55.0000000000,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
APDID,APDID,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,2.0094444444,43.1283333333,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
APKAK,APKAK,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,-0.1888888889,46.2425000000,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
APKOB,APKOB,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,1.9944444444,41.2947222222,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
APMIR,APMIR,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,0.4991666667,45.3822222222,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
APMOL,APMOL,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,8.6263888889,49.3022222222,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
APRAM,APRAM,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,2.1388888889,46.3688888889,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
ARSHI,ARSHI,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,9.5511111111,43.4058333333,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
ASKEN,ASKEN,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,9.0955555556,43.9288888889,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
AVEDA,AVEDA,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,9.2250000000,49.6683333333,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
AVELI,AVELI,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,11.3669444444,56.1333333333,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
AVIDO,AVIDO,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,11.4733333333,44.2077777778,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
AVIMO,AVIMO,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,3.5477777778,50.8775000000,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
AVUSI,AVUSI,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,4.9191666667,44.0005555556,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
AXAPO,AXAPO,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,9.2527777778,43.7536111111,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
AXIKU,AXIKU,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,11.3922222222,49.5886111111,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
AXINA,AXINA,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,6.8297222222,55.0000000000,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
BOMIX,BOMIX,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,12.1672222222,50.4658333333,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
BUBEM,BUBEM,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,5.6566666667,47.4858333333,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
DAROT,DAROT,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,9.1888888889,47.3533333333,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
DEMGO,DEMGO,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,12.0494444444,48.5111111111,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
DUKNI,DUKNI,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,2.8680555556,45.8080555556,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
DUMLO,DUMLO,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,1.0030555556,45.3430555556,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
DUSTO,DUSTO,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,4.1966666667,48.6566666667,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
EGLOM,EGLOM,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,0.7488888889,47.4033333333,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
EGNIP,EGNIP,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,9.2413888889,56.7133333333,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
EGROV,EGROV,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,11.3450000000,45.9833333333,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
EGSAP,EGSAP,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,0.5552777778,45.9166666667,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
EGTUL,EGTUL,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,7.3436111111,48.5227777778,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
EKBAS,EKBAS,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,10.7652777778,57.2175000000,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
EKBEL,EKBEL,SIGNIFICANT_POINT,SOMALIA / MOGADISHU FIR,11.3822222222,55.0000000000,SCAA SOMALIA,2025-11-27,https://aip.scaa.gov.so/eAIP/HC-ENR-4.4-en-GB.html,
